id;name;phone;postcode
1;Lead Administrator;85969;applications
2;Kenyan Shilling Oregon;86430;orchestrate synthesizing
3;payment fault-tolerant Cambridgeshire;29023;capacitor Jordan
4;generate;7765;Assistant matrices Product
5;zero administration Optimization;80619;Michigan copying Games
6;withdrawal;6135;Tasty
7;context-sensitive;9516;Bermudian Dollar (customarily known as Bermuda Dollar)
8;utilize yellow open-source;2153;Incredible overriding
9;Team-oriented homogeneous Director;76163;magenta deposit
10;capacitor Nebraska Functionality;42259;Credit Card Account robust
